"id","uuid","company","title","skills","location","date_posted","salary_range","employment_type","education_requirement","expiration_date","link","description","industry"
"147","183db13fa2c24593b7e9f0d0a3d84ed9","ZapCom Group Inc","Node JS Developer",,"Dallas, TX, US","2024-07-08 14:40:22.000000",,"FULLTIME",,"2024-08-07T14:40:22.000Z","https://www.linkedin.com/jobs/view/node-js-developer-at-zapcom-group-inc-3967134569?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Seeking a for a strong Sr Dev Engineer responsible for building and managing backend engine to be built using NodeJs, Express, Javscript ES6+ and typescript following CI/CD process to deploy to various environments in AWS.

Zapcom group is a niche boutique company in delivering software to our clients. We strive for engineering excellence with product mindset and leveraging our best practices in accelerated development environment.

Zapcom Group take pride in meeting our client’s expectations as a trusted advisor to them and engineer solutions that fit their needs and deliver them on time within budget. This means we adopt and develop their applications and services using technologies, tools, and frameworks that best suit our client’s specific business needs. Because of this, our architects must be comfortable with learning new technologies, frameworks, systems, and problem domains. In Addition, our architects should constantly demonstrate their technical knowledge sharing, be hands on when needed in guiding our developers, and working closely with discipline directors on defining standards and engineer pragmatic solutions for our clients.

YOU'LL BE:

· Working to build out a robust Rest based microservices using Nodejs, Express and Typescript.

· Shaping the way people use loyalty and the entire structure of our backend architecture.

· Build frameworks to integrate with various backend loyalty apis with connecting throttling and proper error management.

· Build the application using Typescript as first class citizen

· Integrate all the apis with API gateway along with authentication and authorization.

· Through understanding of integrating with SQL and non-SQL datastores.

· Managing the technical aspects. Including performance, scalability, and accessibility.

· Will be providing self-explanatory Swagger to frontend developers/

· Tackling bugs post-release and resolving them in timely fashion.

· Strategizing building out the right features based on priority.

· Will be deploying code with 85% code coverage through unit tests.

YOU'LL NEED:

· At least three years’ experience using NodeJS, Express or comparable framework and ability to code using Typescript.

· Experience in understanding inner quirks with Nodjs Event loop and application model

· Understand node, Webpack, and babel (beyond just coding in Node).

· Strong experience with javascript, es6+, Typescript and understanding of integrating with external microservices with performance lens.

· Experience and comfort developing functional components and web hooks.

· Good understanding of AWS deployment model and integrating microservices with API gateway.

· To be a self-starter and a go-getter.

· To have strong interpersonal skills and be flexible, detail-oriented, professional, easy to get along with, enthusiastic and of high moral character.

· Excellent communication skills

· Knowledge of UI frameworks such as React is appreciated.

BONUS POINTS

· Any experience in Atlas Javascript framework is a plus

· Experience is Airline industry is a Plus

· Experience in non sql databases such as MongoDB, Mongoose and DynamoDB is a plus.

· Experience using various AWS resources such as Lambda and RDS is",
"148","9dc4f68c7e7a4f81b92dfe1c76136529","Phoenix Recruitment","Junior Node.JS Developer",,"Denver, CO, US","2024-07-08 13:20:44.000000",,"FULLTIME",,"2024-08-07T13:20:43.000Z","https://www.linkedin.com/jobs/view/junior-node-js-developer-at-phoenix-recruitment-3969889181?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","This is a remote position.

Junior Node.JS Developer - US Only

Experience: 1+ years

Employment Type: Full-time, Remote

Base Salary: $55K-$65K

Phoenix Recruitment offers a variety of recruiting services to assist both employers and employees. They are specialized in marketing open positions, recruiting, and helping employers to find qualified candidates across various industries. Phoenix Recruitment has expertise in streamlining the hiring process. They can help ensure that the process is efficient, well organized, and compliant with relevant regulations.

Description:

In this role, you will work closely with experienced developers and contribute to the design, development, and maintenance of robust and scalable applications using Node.js. This is an excellent opportunity for someone looking to kick-start their career in web development.

Responsibilities:
• Collaborate with the development team to gather project requirements and specifications.
• Assist in the design, development, and maintenance of server-side applications using Node.js.
• Learn to develop and consume RESTful APIs, integrating with third-party services.
• Write clean and efficient code following best practices and coding standards.
• Participate in unit testing and debugging to ensure code quality and reliability.
• Collaborate with front-end developers to integrate server-side logic with client-side components.
• Contribute to code reviews and actively participate in knowledge sharing.
• Stay updated with emerging technologies and industry trends to enhance your skills and knowledge.
• Seek guidance and support from senior team members to resolve technical issues.

Qualifications
• Bachelor's degree in Computer Science, Software Engineering, or a related field.
• Basic understanding of JavaScript and web technologies.
• Familiarity with Node.js and its ecosystem.
• Understanding of asynchronous programming and event-driven architecture.
• Knowledge of databases and SQL.
• Strong problem-solving and analytical skills.
• Excellent communication and collaboration abilities.
• Eagerness to learn and a passion for web development.
• Ability to work both independently and in a team-oriented, collaborative environment.

Benefits:
• Competitive salary based on skills, qualifications, and experience.
• Comprehensive health, dental, and vision insurance plans.
• Paid time off and holidays.
• Flexible work schedule and remote work options.
• Mentorship and guidance from experienced developers.
• Learning and growth opportunities to enhance your skills and knowledge in web development.
• Access to resources and training programs to stay updated with emerging technologies and industry trends.

Why Phoenix Recruitment LLC?

Phoenix Recruitment often has an extensive network of employers and candidates. This network allows them to tap into a pool of qualified candidates and connect them with suitable job opportunities. They can also leverage their connections to help employers find the right talent efficiently. Outsourcing the recruitment process to a specialized agency can save you time and resources, avoid delays, reduce administrative burdens, and increase the chances of finding the right fit for your organization.",
"149","787703fd19cb42b0b81222c3f91a28fb","DSR Corporation","Lead / Senior Node.js Developer",,"Ontario, CA, US","2024-07-08 17:35:49.000000",,"FULLTIME",,"2024-08-07T17:35:48.000Z","https://www.linkedin.com/jobs/view/lead-senior-node-js-developer-at-dsr-corporation-3970068669?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Do you love cutting-edge tech and are passionate about engineering? Then this opportunity might be perfect for you!

About DSR Corporation

DSR Corporation has been the ideal end-to-end solution provider for hundreds of companies, from startups to the Fortune 500, since 1998. Since then, DSR has blossomed into 11 technical divisions, with highly-skilled, technologically-agnostic engineering resources and services in full-stack web, embedded, mobile, wireless, big data / analytics, scalable databases, system software, digital media, SSI / blockchain, and AI / computer vision. Our fully-managed teams and deep technical expertise enable us to provide world-class custom software solutions of any scale and complexity. This approach has allowed us to serve industry leaders like Netflix, Nordic Semiconductor, Seagate, Legrand, EDF, Amazon, Sysgo, and many others. The company has offices located around the world including Denver, Porto, Voronezh, Yokohama-city, and Tashkent.

Among our own products are ZBOSS, the Zigbee software protocol stack for IoT devices, zHome framework for smart home solutions (mobile app, back-end, IoT gateway), ZBOSS Open Initiative to maintain and improve the market-leading Zigbee® PRO software platform together with heavyweight IoT market players. DSR's wholly-owned subsidiary, Noema, focuses on delivering the most up-to-date and reliable AI and Computer Vision solutions for security, manufacturing, retail, healthcare and smart homes/cities businesses.

Join our multinational team of seasoned software engineers! We're passionate about tackling complex tasks and sharing our unique software development expertise, accumulated over 25 years. With well-established workflows and transparent career paths, we're geared to boost your professional growth, regardless of your current experience level.

Let's change our world for the better by doing software right!

| | | |

Job Description

We are currently looking for a Senior/Lead Back-end Software Engineer with deep knowledge of Node.js and MongoDB to join our team. You will be responsible for building the server-side of our web applications, translating our company and customer needs into functional and appealing interactive applications.

Required Skills:
• 4+ years of professional, relevant experience
• Bachelor degree or higher in Computer Science, Mathematics, or related field
• Solid experience with:
• Node.js
• JS & TS
• MongoDB
• PostgreSQL
• Docker
• Solid understanding of programming principles and technologies, including data structures, object oriented programming, and ability to solve algorithmic problems
• Good understanding of client-server application principles, and network applications and protocols (such as: HTTP, SOAP, REST, protobuf, ZMQ)
• Intermediate or higher level of spoken and written technical English
• For Lead: Experience in leading a team of developers for at least 1 year

Will be a Plus:
• Experience with message brokers (such as RabbitMQ, Apache Kafka, Mosquitto)
• Experience with ZigBee
• Experience with other back-end technologies and frameworks, including MVC, RoR, Django, ASP.NET, ASP.NET Core, Java, etc
• Experience with relational and noSQL databases and ORM/ODM framework
• Experience with any front-end technology (e.g. Angular, React, Vue, etc.)
• Experience with automated test scripts
• Experience with deployment of back-end applications (e.g. Docker, Ansible, AWS, Azure, CI/CD)
• Experience with any functional language (such as Scala or Haskell)
• Basic knowledge of a low-level language (C/C++)

Powered by JazzHR

xzkdXwpfG7",
"150","364fcce263104a4dbe1693b6aac04ea6","Upwork","Node.js developer for short term task.",,"US","2024-07-08 16:16:00.000000",,"CONTRACTOR",,,"https://www.upwork.com/freelance-jobs/apply/Node-developer-for-short-term-task_~017316bdedf1693db0/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Description:

We are looking for a talented Node.js developer to take on a specific, short-term task aimed at enhancing the backend of our current application. This project is perfect for freelancers who want to demonstrate their skills and complete a quick project for their portfolio.

Responsibilities:

Analyze the existing backend architecture of the application.

Develop new features or resolve bugs as detailed in the project brief.

Maintain high standards of code quality and documentation.

Work closely with our team to ensure smooth implementation and integration of changes.

Requirements:

Strong knowledge of Node.js and JavaScript.

Experience with Express.js or other similar frameworks.

Understanding of RESTful API design and implementation.

Ability to write clean, efficient, and well-documented code.

Excellent communication skills and the ability to understand and execute project requirements effectively.

Preferred:

Experience with databases such as MongoDB or PostgreSQL.

Familiarity with version control systems like Git.

Previous experience with similar projects.

Project Scope:

Estimated time to complete: 1-2 hours.

Detailed task list and specifications will be provided upon hiring.

Potential for future collaboration based on performance.

How to Apply:

Please submit your proposal with the following:

A brief overview of your experience with Node.js.

Examples of previous work or relevant projects.

Your availability to start and estimated time to complete the task.

Your rate for this project.",
"151","81e7e0bd7edb40388c4a286fb57436b5","MindPal","Node.JS Developer",,"Salt Lake City, UT, US","2023-08-24 16:01:09.000000",,"FULLTIME",,"2024-07-18T08:29:22.000Z","https://www.linkedin.com/jobs/view/node-js-developer-at-mindpal-3703083895?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","???? We are currently seeking a talented and experienced Node.js Developer ????
• Responsibilities:
• Develop and maintain server-side web applications using Node.js
• Collaborate with cross-functional teams to design and implement robust APIs and backend systems
• Write clean and efficient code, following best practices and coding standards
• Conduct thorough testing and debugging of applications to ensure high-quality deliverables
• Optimize application performance and scalability
• Stay up-to-date with the latest trends and advancements in Node.js development
• Requirements:
• Proven experience as a Node.js Developer, with a solid understanding of Node.js and its core principles
• Proficiency in JavaScript
• Knowledge of Express.js or similar web application frameworks
• Experience with NoSQL databases, such as MongoDB
• Understanding of asynchronous programming and event-driven architectures
• Experience with version control systems, preferably Git
• Strong problem-solving skills and the ability to work in a collaborative team environment
• Excellent communication and interpersonal skills

Nice to have: Familiarity with front-end technologies such as HTML, CSS, and JavaScript frameworks (e.g., React, Angular, Vue.js)
• We offer:
• Flexible work-hours
• part-time/full-time
• Competitive salary

Requirements

Responsibilities",
"152","dc0f8514f88a420c9fc0b058a5318be3","Upwork","Node.js Web App Developer",,"US","2024-07-09 06:07:02.000000",,"CONTRACTOR",,,"https://www.upwork.com/freelance-jobs/apply/Node-Web-App-Developer_~01c066ea0b19e5b7e0/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","We are seeking a skilled Node.js developer to create a web application. The main goal of the project is to develop a robust and scalable web app using Node.js. The ideal candidate should have a solid understanding of Node.js and its frameworks, along with expertise in front-end technologies such as HTML, CSS, and JavaScript. The developer will be responsible for designing, coding, and testing the application, ensuring its performance, security, and user-friendly interface.

Responsibilities:

- Develop a web application using Node.js and related frameworks

- Collaborate with the team to design and implement features

- Optimize the application for maximum speed and scalability

- Write clean and maintainable code

- Conduct thorough testing and debugging

Requirements:

- Proven experience in developing web applications using Node.js

- Strong knowledge of front-end technologies (HTML, CSS, JavaScript)

- Familiarity with databases and SQL

- Understanding of version control systems (Git)

- Excellent problem-solving skills and attention to detail

If you are a talented Node.js developer looking for an exciting project, we would love to hear from you!",
"153","84515912b434446a9bb8a68cbd051776","Dice","Node JS Developer with Golang - Remote position",,"US","2024-07-06 15:30:31.000000",,"FULLTIME",,"2024-08-05T15:30:31.000Z","https://www.linkedin.com/jobs/view/node-js-developer-with-golang-remote-position-at-dice-3968966147?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Dice is the leading career destination for tech experts at every stage of their careers. Our client, Infinite Computer Solutions (ICS), is seeking the following. Apply via Dice today!

Job description:
• 5-7 Years experience in :- Node JS- PL/SQL- Mongo
• Experience with Golang
• Facilitates finding mutually agreeable outcome across teams and domains in complex situations
• Ability to accurately break down complex application designs into components
• Can manage deliverables and estimate design and development timelines
• Must have good knowledge on how API is used in front-end development

Required:
• Java
• node/nest
• Golang
• Angular
• Angular JS
• CI/CD pipelines
• Mobile Development
• Mongo DB / SQL
• Oracle
• JBoss
• Kubernetes
• Docker

Node JS Developer with Golang - Remote position",
"154","f003d89df6e44e6fbd3e2635ed20161d","Avtech solution","Node JS Developer",,"Chicago, IL, US","2024-07-07 12:06:00.000000",,"CONTRACTOR",,"2024-08-06T00:00:00.000Z","https://www.ziprecruiter.com/c/Avtech-solution/Job/Node-JS-Developer/-in-Chicago,IL?jid=db6c67f3dc248040&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Job Description

Job: Node JS Developer.

Location: Chicago, IL .

Duration: 12 months.

Job Description:

Ability to implement the features in field tools using technologies like Node.JS, Server side Java Scripting etc.

Ability to work on Test-Driven Development methodology

Responsible for non-routine and unstructured tasks, requiring creative solutions with more interdependencies and with processes that are less defined.

The individual works on complex problems with partially defined, larger scope

The individual will begin to develop a technical specialty

Work effectively with the technical team on assigned projects. There may be communication with employees in other functions within Business Units as required

Work independently

Ability to work in an Agile/Scrum process

Successfully convey information to stakeholders at many levels related to the position

Participate as a proactive contributor and subject matter expert on team projects.

Qualifications

Any Degree

Additional Information

All your information will be kept confidential according to EEO guidelines.",
"155","c60501e762074107afa8cd2acace6186","HEXACT","BackEnd (Node.js) Developer",,"Hallandale Beach, FL, US","2024-07-01 00:00:00.000000",,"FULLTIME",,"2024-11-01T00:00:00.000Z","https://www.glassdoor.com/job-listing/backend-node-js-developer-hexact-JV_IC1166124_KO0,25_KE26,32.htm?jl=1008042944777&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Our BackEnd team is looking for Node.js Developers. Ideal candidates should be result oriented, open to learning new modern technologies and find new solutions.

Job Details

Work type: Full time

Job responsibilities
• Write a clean and optimized code
• Develop new features and improve existing features of the software
• Contribute to team and organizational improvements in process and infrastructure
• Code, test and operate Node.js based services.

Required qualifications
• Strong programming skills in JavaScript with at least 2+ years of work experience in backend development using Node.js
• BA in computer science or similar relevant field
• Professional experience with Git
• Knowledge of TypeScript, GraphQL, PostgreSQL, MongoDB
• Applicable knowledge of web libraries and frameworks such as React
• Knowledge of Docker
• Familiarity with the whole web stack, including protocols and web server optimization techniques
• Strong analytical skills and problem-solving aptitude
• Attention to detail.

All interested candidates are welcome to apply by sending their CVs to hr@hexact.io

PERKS AND BENEFITS

Benefits of working at Hexact

Aside from the potential to join the movement and contribute to the global future of data and AI. At Hexact we value our employees financially, physically, and emotionally.

Medical Insurance

Annual Salary Review

Days Off

Teambuilding and Corporate Events

Flexible Working Schedule

Training Package

Stock Options

Annual Bonus

Lucky Carrot

Tea, Coffee and Refreshments

Reward Systems

Staff Referral Program",
"156","af3f884eeacd40ffa069c25f4c261da1","TrendSpider","Back-end Node.js Developer (Remote)",,"Chicago, IL, US","2024-07-07 04:02:00.000000",,"FULLTIME",,"2024-08-05T00:00:00.000Z","https://www.ziprecruiter.com/c/TrendSpider/Job/Back-end-Node.js-Developer-(Remote)/-in-Chicago,IL?jid=193502009d4bd8d3&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Back-End Node.js Developer

TrendSpider is a professional tool for those who trade anything from stocks to cryptos. We provide smart retail traders, financial advisors and hedge funds with the market research and algo trading platform. We need a Node.js engineer who's going to primarily deal with data feeds (market data and alternative data).
• Connecting new data types and maintaining existing pipelines
• Improving observability in data import pipelines
• Working on business logic which is necessary for data to work in charting, scanning, backtesting, custom JS scripting etc.

Here are the skills required in order to do the job well:
• Experience establishing cloud infrastructure via Terraform. AWS Lambda + SQS is a bare minimum.
• Strong expertise in Node.js. At the very least, you need experience profiling, debugging a memory leak and an event loop jam in a Node.js service. Some services handle tens of thousands of messages per second, some pipelines handle gigabytes of data with limited RAM, that's why.
• Experience working with PostgreSQL and MongoDB with no ORMs.
• Experience dealing with massive data (both ""read a lot"" and ""write a lot"") in PostgreSQL.
• Strong understanding of ideas of both OOP and functional programming. We use both, depending on a component and a goal.
• Capability for testing your work well. Both writing automated tests (units, function, e2e) and running checks by doing what customers do.
• Capability for figuring things out. All data vendors are different, all APIs are different and every kind of data has its own scale.
• Ability to pay attention to small details, like this one. If you read this, enter the word ""green"" in the ""job code"" text box on the application (to cut down on fake applications and bot applications.)
• Capability for building simple solutions for complex problems. Simplicity of solutions is the king here.
• Hands-on experience trading or designing strategies will be a significant bonus.

You'll be dealing with a microservice architecture (30+ microservices) where the vast majority of services run on Node.js. Microservices either provide HTTP REST APIs using Express and Fastify (no Next.js, no GraphQL) or use Websocket. Cloud infrastructure is AWS, CI/CD pipelines are on Gitlab and Bitbucket. Container orchestration is K8s and Docker Swarm. Data pipelines mostly run on AWS Lambda.

Code is all ECMAScript. Quality of code is high, but in some data pipelines it's rather acceptable. There are no variables named ""x"". There's a coding convention. Overall, we value solving problems and delivering value to our customers way above using this new fancy technology just for the purpose of using it.

The workflow is a lightweight mix of scrum and kanban, with a low level of formality. There's a QA team, but engineers test their work thoroughly too. You'll be supervised in the beginning. As soon as we get on the same page regarding values in engineering, you'll be having less and less supervision, until you get to a point when you will make most of the decisions yourself. The team is all remote, from Argentina to Ukraine. Languages are English and Russian. Speaking Russian would be a bonus, but not a must have.

The hiring process is short and straightforward. First, a few emails, then one interview call with 1-2 people and that's it.

While we expect you to primarily deal with the data pipelines, this position offers you a number of directions for growth. You will have the opportunity to work with highly loaded components (i.e., real time market data firehose intake) and fairly sophisticated architecture. You will also have a chance to work with active traders and learn about markets and trading as a whole, backtesting and algorithmic trading. You'll be able to work on business logic related to algo trading if you're interested and capable. In general, if you're interested in trading and want to dive deep, then it's the right place for you.
Employment Type: FULL_TIME",
